DTYYYYMMDD,Ticker,Open,High,Low,Close,Volume,Outlier
2017-10-02,VN30F1M,790.8,792.5,787.0,788.3,6062.0,False
2017-10-03,VN30F1M,787.2,789.2,783.8,784.5,7262.0,False
2017-10-04,VN30F1M,784.2,792.0,783.5,792.0,8062.0,False
2017-10-05,VN30F1M,792.5,796.3,791.5,793.0,10122.0,False
2017-10-06,VN30F1M,794.0,796.0,791.6,795.8,9045.0,False
2017-10-09,VN30F1M,797.6,799.0,796.5,799.0,8325.0,False
2017-10-10,VN30F1M,798.2,802.0,797.8,802.0,6643.0,False
2017-10-11,VN30F1M,803.3,807.5,800.0,804.2,9921.0,False
2017-10-12,VN30F1M,805.0,808.1,805.0,807.0,8397.0,False
2017-10-13,VN30F1M,807.3,814.0,806.4,814.0,9827.0,False
2017-10-16,VN30F1M,815.6,816.6,812.3,813.5,7671.0,False
2017-10-17,VN30F1M,812.9,817.4,812.2,817.4,6126.0,False
2017-10-18,VN30F1M,818.4,820.8,815.0,815.0,6053.0,False
2017-10-19,VN30F1M,816.0,819.1,816.0,817.2,5647.0,False
2017-10-20,VN30F1M,817.9,819.5,813.5,813.9,11038.0,False
2017-10-23,VN30F1M,814.0,814.5,807.2,808.2,10316.0,False
2017-10-24,VN30F1M,808.2,813.0,806.7,813.0,15474.0,False
2017-10-25,VN30F1M,814.5,820.6,812.5,820.6,12204.0,False
2017-10-26,VN30F1M,820.5,824.0,815.8,820.8,17377.0,False
2017-10-27,VN30F1M,822.3,831.0,819.1,831.0,18567.0,False
2017-10-30,VN30F1M,834.0,839.8,831.0,836.2,15450.0,False
2017-10-31,VN30F1M,834.2,837.4,830.5,831.9,19633.0,False
2017-11-01,VN30F1M,830.5,835.8,830.3,835.8,15611.0,False
2017-11-02,VN30F1M,836.5,839.8,830.0,830.0,22192.0,False
2017-11-03,VN30F1M,828.7,838.0,828.2,838.0,20823.0,False
2017-11-06,VN30F1M,841.0,845.0,838.3,845.0,16841.0,False
2017-11-07,VN30F1M,846.1,850.6,844.0,847.0,20580.0,False
2017-11-08,VN30F1M,846.5,857.0,846.5,857.0,20034.0,False
2017-11-09,VN30F1M,856.8,860.9,856.2,857.3,18926.0,False
2017-11-10,VN30F1M,857.0,861.0,855.5,857.3,18344.0,False
2017-11-13,VN30F1M,857.5,863.8,857.5,863.5,7471.0,False
2017-11-14,VN30F1M,865.5,871.9,863.5,869.7,9399.0,False
2017-11-15,VN30F1M,871.5,880.2,868.5,877.0,7473.0,False
2017-11-16,VN30F1M,878.0,888.1,877.0,888.1,6160.0,False
2017-11-17,VN30F1M,897.5,908.0,891.5,903.0,13311.0,False
2017-11-20,VN30F1M,904.9,930.0,904.1,930.0,10205.0,False
2017-11-21,VN30F1M,935.0,965.8,933.8,958.0,14988.0,False
2017-11-22,VN30F1M,960.3,976.0,959.3,975.0,15357.0,False
2017-11-23,VN30F1M,983.0,987.5,940.0,950.0,15836.0,False
2017-11-24,VN30F1M,947.0,954.0,935.2,938.0,12871.0,False
2017-11-27,VN30F1M,940.0,946.0,937.1,946.0,9354.0,False
2017-11-28,VN30F1M,945.9,949.9,940.0,946.5,9158.0,False
2017-11-29,VN30F1M,949.0,960.0,946.5,960.0,7116.0,False
2017-11-30,VN30F1M,963.1,972.9,958.0,958.0,10314.0,False
2017-12-01,VN30F1M,959.2,964.6,958.0,963.6,7557.0,False
2017-12-04,VN30F1M,967.5,988.0,965.2,988.0,7269.0,False
2017-12-05,VN30F1M,992.0,992.0,951.6,955.0,13736.0,False
2017-12-06,VN30F1M,953.0,953.9,923.4,949.0,19866.0,False
2017-12-07,VN30F1M,948.9,952.9,930.6,937.0,17187.0,False
2017-12-08,VN30F1M,935.0,943.0,929.0,936.0,16021.0,False
2017-12-11,VN30F1M,928.5,929.0,900.0,900.0,13634.0,False
2017-12-12,VN30F1M,906.0,917.9,860.0,905.0,26110.0,False
2017-12-13,VN30F1M,914.0,916.8,895.0,910.0,24962.0,False
2017-12-14,VN30F1M,906.9,928.0,905.2,928.0,20361.0,False
2017-12-15,VN30F1M,935.0,939.0,927.0,935.0,16825.0,False
2017-12-18,VN30F1M,940.0,958.0,938.0,958.0,13261.0,False
2017-12-19,VN30F1M,956.8,961.9,941.2,942.5,15668.0,False
2017-12-20,VN30F1M,944.8,953.5,941.1,949.0,12353.0,False
2017-12-21,VN30F1M,948.0,953.6,937.8,937.8,7596.0,False
2017-12-22,VN30F1M,950.0,956.0,949.1,956.0,15441.0,False
2017-12-25,VN30F1M,958.2,961.3,956.3,961.3,9454.0,False
2017-12-26,VN30F1M,961.9,976.0,961.4,976.0,12333.0,False
2017-12-27,VN30F1M,975.0,978.8,960.0,966.0,14534.0,False
2017-12-28,VN30F1M,968.1,979.3,965.2,977.9,13077.0,False
2017-12-29,VN30F1M,980.0,988.8,978.0,980.0,16735.0,False
2018-01-01,VN30F1M,981.95,993.9,979.4,989.5,14041.0,False
2018-01-02,VN30F1M,983.9,999.0,980.8,999.0,11347.0,False
2018-01-03,VN30F1M,1002.5,1015.2,1002.0,1012.8,16134.0,False
2018-01-04,VN30F1M,1014.8,1023.9,1012.8,1023.9,13815.0,False
2018-01-05,VN30F1M,1024.1,1025.0,1007.0,1012.0,16296.0,False
2018-01-08,VN30F1M,1008.3,1031.0,1005.7,1030.0,13326.0,False
2018-01-09,VN30F1M,1034.3,1043.0,1025.5,1042.0,17655.0,False
2018-01-10,VN30F1M,1042.5,1048.8,1035.0,1040.0,17692.0,False
2018-01-11,VN30F1M,1037.5,1054.0,1033.1,1052.8,16763.0,False
2018-01-12,VN30F1M,1053.1,1058.3,1046.6,1051.5,19166.0,False
2018-01-15,VN30F1M,1050.0,1059.0,1046.1,1059.0,15375.0,False
2018-01-16,VN30F1M,1059.0,1065.1,1050.2,1058.0,15517.0,False
2018-01-17,VN30F1M,1059.9,1060.7,1024.0,1024.0,11550.0,False
2018-01-18,VN30F1M,1021.0,1044.3,1013.2,1044.3,12075.0,False
2018-01-19,VN30F1M,1057.0,1063.9,1052.5,1052.5,20020.0,False
2018-01-22,VN30F1M,1056.0,1089.8,1056.0,1089.8,19173.0,False
2018-01-23,VN30F1M,1087.5,1103.0,1087.1,1100.0,10305.0,False
2018-01-24,VN30F1M,1100.0,1106.8,1098.1,1103.0,10735.0,False
2018-01-25,VN30F1M,1106.0,1123.5,1105.9,1119.0,18230.0,False
2018-01-26,VN30F1M,1120.2,1123.9,1105.0,1111.0,22144.0,False
2018-01-29,VN30F1M,1113.5,1116.6,1091.8,1093.0,18590.0,False
2018-01-30,VN30F1M,1086.0,1105.0,1078.0,1105.0,23466.0,False
2018-01-31,VN30F1M,1103.0,1112.0,1085.0,1085.0,23687.0,False
2018-02-01,VN30F1M,1086.3,1091.0,1072.5,1080.0,25179.0,False
2018-02-02,VN30F1M,1082.0,1087.0,1075.6,1087.0,23420.0,False
2018-02-05,VN30F1M,1081.0,1081.9,1042.0,1042.0,23907.0,False
2018-02-06,VN30F1M,1014.8,1035.0,978.0,1000.0,34837.0,False
2018-02-07,VN30F1M,1028.8,1031.7,1015.0,1020.0,27374.0,False
2018-02-08,VN30F1M,1019.9,1023.2,1004.5,1004.5,22948.0,False
2018-02-09,VN30F1M,957.0,1000.0,957.0,1000.0,28547.0,False
2018-02-12,VN30F1M,1010.0,1039.0,1007.6,1039.0,13958.0,False
2018-02-13,VN30F1M,1046.1,1058.7,1044.8,1053.5,8526.0,False
2018-02-14,VN30F1M,1050.7833333333333,1064.3333333333337,1049.7,1058.25,9787.333333333334,False
2018-02-15,VN30F1M,1055.4666666666667,1069.9666666666667,1054.6,1063.0,11048.666666666666,False
2018-02-16,VN30F1M,1060.15,1075.6,1059.5,1067.75,12310.0,False
2018-02-19,VN30F1M,1064.8333333333333,1081.2333333333331,1064.4,1072.5,13571.333333333332,False
2018-02-20,VN30F1M,1069.5166666666669,1086.8666666666668,1069.3,1077.25,14832.666666666666,False
2018-02-21,VN30F1M,1074.2,1092.5,1074.2,1082.0,16094.0,False
2018-02-22,VN30F1M,1071.5,1084.5,1059.9,1059.9,27033.0,False
2018-02-23,VN30F1M,1073.0,1106.0,1072.0,1106.0,27435.0,False
2018-02-26,VN30F1M,1121.0,1127.9,1099.0,1108.2,26368.0,False
2018-02-27,VN30F1M,1117.0,1120.0,1093.0,1112.0,36321.0,False
2018-02-28,VN30F1M,1102.2,1112.5,1098.0,1105.0,27133.0,False
2018-03-01,VN30F1M,1098.0,1115.0,1096.2,1105.5,33683.0,False
2018-03-02,VN30F1M,1097.0,1109.0,1092.3,1109.0,26006.0,False
2018-03-05,VN30F1M,1115.0,1119.7,1075.5,1075.5,22423.0,False
2018-03-06,VN30F1M,1086.4,1110.0,1081.1,1110.0,30557.0,False
2018-03-07,VN30F1M,1109.9,1111.0,1074.0,1087.0,33011.0,False
2018-03-08,VN30F1M,1095.1,1112.0,1092.2,1105.6,33867.0,False
2018-03-09,VN30F1M,1114.0,1120.0,1096.5,1106.0,31874.0,False
2018-03-12,VN30F1M,1117.0,1119.5,1106.2,1111.8,23088.0,False
2018-03-13,VN30F1M,1108.5,1116.0,1098.2,1116.0,28875.0,False
2018-03-14,VN30F1M,1115.7,1117.5,1110.1,1113.9,15889.0,False
2018-03-15,VN30F1M,1109.8,1113.0,1107.0,1109.5,9003.0,False
2018-03-16,VN30F1M,1123.0,1126.6,1121.1,1126.6,14259.0,False
2018-03-19,VN30F1M,1128.0,1137.0,1126.8,1131.1,14895.0,False
2018-03-20,VN30F1M,1127.7,1136.6,1126.5,1132.0,16426.0,False
2018-03-21,VN30F1M,1134.1,1142.3,1134.0,1139.9,17643.0,False
2018-03-22,VN30F1M,1146.0,1148.4,1139.0,1139.0,17855.0,False
2018-03-23,VN30F1M,1124.1,1127.6,1119.6,1126.0,24527.0,False
2018-03-26,VN30F1M,1125.6,1148.0,1125.1,1140.0,18497.0,False
2018-03-27,VN30F1M,1154.5,1154.5,1144.0,1146.9,19508.0,False
2018-03-28,VN30F1M,1143.3,1149.0,1141.1,1146.5,16640.0,False
2018-03-29,VN30F1M,1148.5,1149.9,1141.3,1142.8,15467.0,False
2018-03-30,VN30F1M,1144.0,1147.0,1139.3,1145.2,14884.0,False
2018-04-02,VN30F1M,1148.0,1163.4,1147.0,1162.0,17198.0,False
2018-04-03,VN30F1M,1161.2,1163.0,1156.5,1162.6,15942.0,False
2018-04-04,VN30F1M,1168.1,1170.5,1162.0,1162.0,16690.0,False
2018-04-05,VN30F1M,1167.0,1170.0,1163.3,1170.0,15374.0,False
2018-04-06,VN30F1M,1169.5,1173.8,1168.6,1170.0,13578.0,False
2018-04-09,VN30F1M,1170.9,1178.3,1170.5,1178.3,10699.0,False
2018-04-10,VN30F1M,1177.9,1179.8,1172.3,1174.0,14991.0,False
2018-04-11,VN30F1M,1175.0,1175.6,1140.0,1140.0,21598.0,False
2018-04-12,VN30F1M,1138.5,1145.0,1128.0,1141.0,29480.0,False
2018-04-13,VN30F1M,1145.2,1147.7,1125.0,1125.0,25078.0,False
2018-04-16,VN30F1M,1124.0,1132.8,1123.1,1125.0,18355.0,False
2018-04-17,VN30F1M,1127.3,1133.5,1120.2,1133.5,20613.0,False
2018-04-18,VN30F1M,1136.6,1136.9,1112.1,1112.2,18712.0,False
2018-04-19,VN30F1M,1113.8,1114.8,1065.0,1065.0,18501.0,False
2018-04-20,VN30F1M,1073.0,1096.9,1060.1,1096.9,45743.0,False
2018-04-23,VN30F1M,1098.9,1099.0,1030.5,1035.0,41255.0,False
2018-04-24,VN30F1M,1040.0,1064.7,1031.0,1044.0,53536.0,False
2018-04-25,VN30F1M,1043.75,1056.6,1017.5,1029.25,52903.5,False
2018-04-26,VN30F1M,1047.5,1048.5,1004.0,1014.5,52271.0,False
2018-04-27,VN30F1M,1014.0,1038.0,1010.1,1031.0,62038.0,False
2018-04-30,VN30F1M,1020.3333333333334,1036.6666666666667,1006.7666666666668,1023.3666666666668,60900.0,False
2018-05-01,VN30F1M,1026.6666666666667,1035.3333333333333,1003.4333333333334,1015.7333333333332,59762.0,False
2018-05-02,VN30F1M,1033.0,1034.0,1000.1,1008.1,58624.0,False
2018-05-03,VN30F1M,1004.9,1021.5,991.5,1019.0,68891.0,False
2018-05-04,VN30F1M,1020.1,1021.9,1007.0,1013.0,54438.0,False
2018-05-07,VN30F1M,1017.0,1056.0,1016.0,1056.0,44783.0,False
2018-05-08,VN30F1M,1054.5,1067.0,1047.0,1050.0,68286.0,False
2018-05-09,VN30F1M,1048.0,1061.0,1041.0,1042.0,68699.0,False
2018-05-10,VN30F1M,1044.5,1048.0,1008.0,1014.0,66720.0,False
2018-05-11,VN30F1M,1010.0,1034.9,998.1,1034.0,71435.0,False
2018-05-14,VN30F1M,1037.0,1056.8,1028.6,1056.8,63703.0,False
2018-05-15,VN30F1M,1055.1,1072.9,1047.0,1047.0,65821.0,False
2018-05-16,VN30F1M,1049.0,1053.5,1024.0,1032.0,53866.0,False
2018-05-17,VN30F1M,1031.8,1033.0,1006.0,1006.0,48160.0,False
2018-05-18,VN30F1M,1013.8,1029.8,993.0,1026.9,69922.0,False
2018-05-21,VN30F1M,1028.0,1034.9,992.5,992.5,81025.0,False
2018-05-22,VN30F1M,991.0,996.5,954.6,964.0,84001.0,False
2018-05-23,VN30F1M,963.5,982.0,946.1,972.5,86276.0,False
2018-05-24,VN30F1M,973.0,974.9,948.1,957.0,85277.0,False
2018-05-25,VN30F1M,957.1,966.5,930.0,930.0,76618.0,False
2018-05-28,VN30F1M,926.1,927.5,880.6,883.5,71052.0,False
2018-05-29,VN30F1M,881.0,935.9,880.1,924.0,94873.0,False
2018-05-30,VN30F1M,923.0,931.0,895.0,908.0,113359.0,False
2018-05-31,VN30F1M,912.0,945.7,908.1,940.5,90673.0,False
2018-06-01,VN30F1M,937.7,963.8,936.6,957.5,85724.0,False
2018-06-04,VN30F1M,953.6,984.5,953.0,980.5,78215.0,False
2018-06-05,VN30F1M,984.0,992.0,977.5,990.0,79309.0,False
2018-06-06,VN30F1M,993.0,1019.0,986.8,1019.0,69173.0,False
2018-06-07,VN30F1M,1020.0,1027.8,1011.0,1016.0,83969.0,False
