Ticker	DTYYYYMMDD	Open	High	Low	Close	Volume
HNX:VN301!	20170810	757.9	757.9	745.5	745.9	367.0
HNX:VN301!	20170811	746.0	746.4	743.4	745.7	510.0
HNX:VN301!	20170814	745.9	748.9	745.7	748.9	707.0
HNX:VN301!	20170815	750.3	750.9	748.0	748.0	946.0
HNX:VN301!	20170816	747.7	748.4	745.1	748.1	1065.0
HNX:VN301!	20170817	748.5	749.8	744.5	744.6	1134.0
HNX:VN301!	20170818	741.5	743.5	741.1	742.9	2490.0
HNX:VN301!	20170821	742.8	743.4	741.6	741.8	2601.0
HNX:VN301!	20170822	741.5	741.7	738.6	738.7	3128.0
HNX:VN301!	20170823	738.5	739.7	737.0	738.8	5824.0
HNX:VN301!	20170824	739.5	742.4	738.6	741.6	6563.0
HNX:VN301!	20170825	741.7	743.3	741.7	743.1	5386.0
HNX:VN301!	20170828	743.4	751.0	743.0	751.0	5662.0
HNX:VN301!	20170829	751.8	752.9	747.0	747.0	5223.0
HNX:VN301!	20170830	748.7	752.6	748.3	752.6	4413.0
HNX:VN301!	20170831	753.0	760.5	752.8	758.1	5359.0
HNX:VN301!	20170901	758.8	762.2	758.6	762.0	5720.0
HNX:VN301!	20170905	761.9	763.8	760.5	763.0	4580.0
HNX:VN301!	20170906	762.3	763.5	761.3	763.5	4564.0
HNX:VN301!	20170907	763.5	773.9	763.3	770.0	6142.0
HNX:VN301!	20170908	771.0	776.4	770.9	775.1	6318.0
HNX:VN301!	20170911	774.8	779.6	769.0	769.0	7003.0
HNX:VN301!	20170912	769.0	772.8	766.7	772.6	9529.0
HNX:VN301!	20170913	773.9	778.5	773.7	778.5	7169.0
HNX:VN301!	20170914	779.0	785.5	779.0	784.5	7736.0
HNX:VN301!	20170915	784.6	786.5	782.3	784.5	7175.0
HNX:VN301!	20170918	785.2	793.2	785.2	791.9	6221.0
HNX:VN301!	20170919	792.1	795.9	792.1	792.5	6312.0
HNX:VN301!	20170920	792.5	793.3	789.1	789.9	6765.0
HNX:VN301!	20170921	789.9	790.7	786.0	787.2	4674.0
HNX:VN301!	20170922	786.0	787.7	784.4	785.6	6515.0
HNX:VN301!	20170925	785.6	787.3	785.2	786.0	5199.0
HNX:VN301!	20170926	786.0	787.0	784.6	787.0	4518.0
HNX:VN301!	20170927	787.0	787.6	786.4	787.0	3205.0
HNX:VN301!	20170928	786.9	792.4	786.6	788.0	7975.0
HNX:VN301!	20170929	788.5	791.8	788.3	790.3	7060.0
