ticker,date,open,high,low,close,volume
VN30F2M,20250319,1384.1,1385.0,1376.7,1377.3,14332.0
VN30F2M,20250318,1398.8,1398.8,1385.2,1385.2,5455.0
VN30F2M,20250317,1388.0,1391.0,1386.1,1391.0,2908.0
VN30F2M,20250314,1385.5,1392.4,1382.9,1384.5,929.0
VN30F2M,20250313,1388.6,1392.6,1384.0,1388.1,897.0
VN30F2M,20250312,1390.1,1394.4,1387.2,1388.5,983.0
VN30F2M,20250311,1379.5,1390.0,1375.0,1390.0,1186.0
VN30F2M,20250310,1387.7,1394.0,1385.0,1386.8,995.0
VN30F2M,20250307,1373.2,1386.1,1373.2,1384.0,707.0
VN30F2M,20250306,1369.4,1377.0,1368.5,1375.1,919.0
VN30F2M,20250305,1366.7,1462.3,1366.0,1367.2,998.0
VN30F2M,20250304,1355.0,1370.0,1352.5,1366.7,1007.0
VN30F2M,20250303,1364.3,1366.0,1358.6,1360.9,746.0
VN30F2M,20250228,1359.0,1363.5,1351.0,1356.0,389.0
VN30F2M,20250227,1363.5,1365.0,1353.3,1364.5,293.0
VN30F2M,20250226,1364.1,1365.0,1361.0,1362.4,81.0
VN30F2M,20250225,1367.1,1367.7,1360.0,1362.0,467.0
VN30F2M,20250224,1354.0,1366.9,1351.6,1365.6,373.0
VN30F2M,20250221,1345.2,1356.5,1345.1,1354.0,168.0
VN30F2M,20250220,1351.3,1353.9,1348.0,1348.0,28587.0
VN30F2M,20250219,1342.0,1350.4,1341.0,1348.0,14982.0
VN30F2M,20250218,1338.8,1352.6,1336.8,1343.8,6888.0
VN30F2M,20250217,1348.0,1348.0,1340.0,1340.0,2388.0
VN30F2M,20250214,1348.0,1353.0,1344.0,1344.5,1744.0
VN30F2M,20250213,1336.0,1341.0,1330.9,1339.4,1312.0
VN30F2M,20250212,1339.0,1343.7,1334.1,1334.1,1166.0
VN30F2M,20250211,1337.4,1338.6,1332.5,1335.4,707.0
VN30F2M,20250210,1339.9,1341.3,1331.2,1334.1,1025.0
VN30F2M,20250207,1344.2,1352.0,1341.0,1345.0,508.0
VN30F2M,20250206,1342.1,1349.9,1342.1,1346.0,486.0
VN30F2M,20250205,1333.5,1344.0,1333.5,1341.0,623.0
VN30F2M,20250204,1330.2,1337.4,1328.1,1336.0,495.0
VN30F2M,20250203,1338.9,1339.0,1320.2,1323.0,785.0
VN30F2M,20250124,1347.0,1352.0,1345.1,1351.3,230.0
VN30F2M,20250123,1327.2,1353.9,1327.2,1348.0,520.0
VN30F2M,20250122,1333.4,1335.5,1327.0,1328.0,236.0
VN30F2M,20250121,1330.0,1338.0,1323.7,1327.4,277.0
VN30F2M,20250120,1322.5,1330.8,1322.5,1330.8,296.0
VN30F2M,20250117,1311.7,1325.0,1311.7,1324.1,278.0
VN30F2M,20250116,1309.8,1314.4,1305.5,1308.5,39908.0
VN30F2M,20250115,1301.5,1309.1,1299.2,1301.0,15330.0
VN30F2M,20250114,1306.0,1306.0,1294.2,1298.5,8447.0
VN30F2M,20250113,1294.4,1304.2,1291.6,1303.9,3948.0
VN30F2M,20250110,1321.6,1322.0,1300.0,1301.0,985.0
VN30F2M,20250109,1328.0,1331.2,1316.0,1319.6,609.0
VN30F2M,20250108,1324.1,1328.6,1319.0,1327.6,461.0
VN30F2M,20250107,1326.0,1333.7,1322.0,1324.0,389.0
VN30F2M,20250106,1331.5,1335.0,1325.0,1325.0,490.0
VN30F2M,20250103,1350.9,1350.9,1330.0,1330.0,455.0
VN30F2M,20250102,1350.2,1354.9,1340.4,1349.1,250.0
