ticker,date,open,high,low,close,volume
VNINDEX,20250319,1330.4,1330.7,1320.85,1324.63,949333600.0
VNINDEX,20250318,1340.16,1341.65,1329.11,1330.97,903370731.0
VNINDEX,20250317,1330.62,1336.29,1329.05,1336.26,971316343.0
VNINDEX,20250314,1325.84,1333.3,1324.26,1326.15,1023002500.0
VNINDEX,20250313,1335.66,1340.91,1323.61,1326.27,1068722034.0
VNINDEX,20250312,1337.63,1342.91,1331.75,1334.41,942052737.0
VNINDEX,20250311,1319.17,1332.54,1315.92,1332.54,933335588.0
VNINDEX,20250310,1331.6,1335.87,1326.51,1330.28,1022531601.0
VNINDEX,20250307,1320.08,1327.07,1318.71,1326.05,957522914.0
VNINDEX,20250306,1308.02,1318.22,1307.91,1318.22,1064495152.0
VNINDEX,20250305,1312.84,1319.52,1303.18,1304.71,979928986.0
VNINDEX,20250304,1306.82,1313.21,1298.28,1311.91,1059732318.0
VNINDEX,20250303,1306.97,1309.77,1304.3,1309.37,976076811.0
VNINDEX,20250228,1307.14,1308.77,1300.66,1305.36,814810599.0
VNINDEX,20250227,1307.31,1307.87,1296.43,1307.8,892978700.0
VNINDEX,20250226,1305.16,1306.49,1301.04,1302.96,758267415.0
VNINDEX,20250225,1306.86,1309.97,1298.54,1303.16,885781326.0
VNINDEX,20250224,1298.39,1304.56,1294.69,1304.56,892357206.0
VNINDEX,20250221,1295.78,1297.07,1290.98,1296.75,740533654.0
VNINDEX,20250220,1292.94,1295.82,1290.84,1292.98,770753400.0
VNINDEX,20250219,1280.6,1288.56,1278.92,1288.56,814560000.0
VNINDEX,20250218,1274.05,1283.34,1272.19,1278.14,706786311.0
VNINDEX,20250217,1277.12,1278.49,1272.72,1272.72,852785091.0
VNINDEX,20250214,1277.52,1280.6,1274.0,1276.08,650490757.0
VNINDEX,20250213,1267.25,1270.67,1263.85,1270.35,512022462.0
VNINDEX,20250212,1270.83,1272.86,1266.59,1266.91,506158689.0
VNINDEX,20250211,1265.44,1268.45,1263.11,1268.45,628718950.0
VNINDEX,20250210,1272.27,1274.47,1263.26,1263.26,794937560.0
VNINDEX,20250207,1271.98,1279.35,1269.11,1275.2,619048495.0
VNINDEX,20250206,1273.58,1275.47,1268.28,1271.48,568691544.0
VNINDEX,20250205,1268.43,1271.8,1266.18,1269.61,587298702.0
VNINDEX,20250204,1256.91,1264.68,1255.44,1264.68,660339392.0
VNINDEX,20250203,1259.09,1259.09,1249.78,1253.03,547002900.0
VNINDEX,20250124,1259.26,1265.38,1258.46,1265.05,536199693.0
VNINDEX,20250123,1245.59,1263.59,1244.77,1259.63,542464580.0
VNINDEX,20250122,1248.26,1249.14,1242.53,1242.53,508856937.0
VNINDEX,20250121,1252.75,1254.17,1243.08,1246.09,495626989.0
VNINDEX,20250120,1250.03,1253.02,1247.5,1249.55,440950915.0
VNINDEX,20250117,1242.38,1249.11,1239.63,1249.11,432980446.0
VNINDEX,20250116,1241.74,1245.4,1235.56,1242.36,499935827.0
VNINDEX,20250115,1233.29,1237.46,1231.13,1236.18,466696448.0
VNINDEX,20250114,1234.77,1235.54,1226.7,1229.07,374576392.0
VNINDEX,20250113,1226.66,1235.65,1220.87,1235.65,519699252.0
VNINDEX,20250110,1245.68,1247.8,1230.48,1230.48,499266400.0
VNINDEX,20250109,1250.56,1253.26,1242.9,1245.77,336332868.0
VNINDEX,20250108,1246.16,1251.02,1239.67,1251.02,445750575.0
VNINDEX,20250107,1249.19,1254.09,1243.06,1246.95,560054884.0
VNINDEX,20250106,1254.79,1260.37,1244.87,1246.35,565150232.0
VNINDEX,20250103,1268.74,1269.01,1254.59,1254.59,560468400.0
VNINDEX,20250102,1268.96,1271.13,1263.25,1269.71,428135718.0
